Tarih,TÜFE (Yıllık % Değişim),TÜFE (Aylık % Değişim),İşsizlik Oranı Aylık (%),İşsizlik Oranı Aylık (%) Erkek,İşsizlik Oranı Aylık (%) Kadın,TCMB FAİZ KARARI,DOLAR/TL KURU
1.01.2018,10.35,1.02,11.0,10,13.2,8,3.7555
1.02.2018,10.26,0.73,10.8,9.4,13.8,8,3.7988
1.03.2018,10.23,0.99,9.8,8.5,12.5,8,3.9552
1.04.2018,10.85,1.87,9.3,8.2,11.8,8,4.0617
1.05.2018,12.15,1.62,9.4,8.1,12.1,8,4.5245
1.06.2018,15.39,2.61,10.2,9,12.8,16.5,4.5872
1.07.2018,15.85,0.55,10.7,9.1,14.2,17.75,4.9142
1.08.2018,17.9,2.3,11.1,9.2,15.1,17.75,6.538
14.09.2018,24.52,6.3,11.4,9.5,15.3,24,6.056
1.10.2018,25.24,2.67,11.7,10.4,14.4,24,5.5835
1.11.2018,21.62,-1.44,12.0,10.8,14.3,24,5.2128
1.12.2018,20.3,-0.4,13.3,12.5,14.9,24,5.2887
1.01.2019,20.35,1.06,15.1,14.6,16.3,24,5.1645
1.02.2019,19.67,0.16,15.0,13.9,17.3,24,5.3371
1.03.2019,19.71,1.03,13.9,12.7,16.2,24,5.5555
1.04.2019,19.5,1.69,12.9,12,14.6,24,5.9656
1.05.2019,18.71,0.95,12.5,11.4,14.7,24,5.8382
1.06.2019,15.72,0.03,13.4,12.4,15.3,24,5.7921
26.07.2019,16.65,1.36,14.1,12.7,16.9,19.75,5.5864
1.08.2019,15.01,0.86,14.2,12.5,17.7,19.75,5.8306
13.09.2019,9.26,0.99,14.0,12,18,16.5,5.6489
25.10.2019,8.55,2,13.3,11.8,16.3,14,5.713
1.11.2019,10.56,0.38,12.9,11.2,16.4,14,5.747
13.12.2019,11.84,0.74,13.6,12.1,16.6,12,5.9489
17.01.2020,12.15,1.35,14.1,13,16.4,11.25,5.9822
20.02.2020,12.37,0.35,13.5,12.8,15.1,10.75,6.2427
18.03.2020,11.86,0.57,13.0,12.4,14.5,9.75,6.6143
23.04.2020,10.94,0.85,12.8,13,12.5,8.75,6.9864
22.05.2020,11.39,1.36,12.6,12.6,12.6,8.25,6.8202
1.06.2020,12.62,1.13,13.0,12.3,14.5,8.25,6.8525
1.07.2020,11.76,0.58,14.6,13.8,16.2,8.25,6.9719
1.08.2020,11.77,0.86,13.0,11.6,15.7,8.25,7.3506
25.09.2020,11.75,0.97,12.4,10.9,15.6,10.25,7.7187
1.10.2020,11.89,2.13,12.8,11.6,15.3,10.25,8.3468
20.11.2020,14.03,2.3,12.9,12.1,14.6,15,7.8324
25.12.2020,14.6,1.25,13.0,12.5,14.2,17,7.437
1.01.2021,14.97,1.68,13.4,12.8,14.7,17,7.3149
1.02.2021,15.61,0.91,14.1,13.1,16.1,17,7.4253
19.03.2021,16.19,1.08,13.1,11.8,15.8,19,8.2489
1.04.2021,17.14,1.68,12.9,12.4,14.1,19,8.2884
1.05.2021,16.59,0.89,12.4,11.8,13.7,19,8.4896
1.06.2021,17.53,1.94,10.4,9,13.3,19,8.7087
1.07.2021,18.95,1.8,12.1,10.7,14.8,19,8.454
1.08.2021,19.25,1.12,12.0,10.1,15.9,19,8.3164
24.09.2021,19.58,1.25,11.1,8.9,15.4,18,9.608
22.10.2021,19.89,2.39,10.7,9,14.1,16,13.4782
19.11.2021,21.31,3.51,10.9,9.2,14.5,15,13.3211
17.12.2021,36.08,13.58,11.3,10.1,13.7,14,13.3209
1.01.2022,48.69,11.1,12.1,11.2,13.8,14,13.8486
1.02.2022,54.44,4.81,11.4,10,14.2,14,14.6739
1.03.2022,61.14,5.46,11.4,10.2,13.8,14,14.8517
1.04.2022,69.97,7.25,10.6,9.4,13.1,14,16.4035
1.05.2022,73.5,2.98,10.1,9,12.2,14,16.7
1.06.2022,78.62,4.95,9.7,8,13,14,17.9148
1.07.2022,79.6,2.37,10.6,9,13.7,14,18.1978
19.08.2022,80.21,1.46,9.8,8,13.4,13,18.5024
23.09.2022,83.45,3.08,9.9,8,13.6,12,18.6151
21.10.2022,85.51,3.54,9.9,8,13.4,10.5,18.6121
25.11.2022,84.39,2.88,9.9,8.4,12.7,9,18.6905
1.12.2022,64.27,1.18,10.4,8.3,14.6,9,18.8115
1.01.2023,57.68,6.65,10.3,8.6,13.9,9,18.8875
24.02.2023,55.18,3.15,10.6,9.3,13.2,8.5,19.1793
1.03.2023,50.51,2.29,10.3,8.5,13.8,8.5,19.453
1.04.2023,43.68,2.39,10.0,8.2,13.4,8.5,20.7596
1.05.2023,39.59,0.04,8.8,7.3,11.6,8.5,26.0511
23.06.2023,38.21,3.92,,,,15,26.1531
